years_since_last_eval,confidence_level,risk_tier
1.054072553045859,3,Low
1.054072553045859,3,Low
15.523613963039017,1,Critical
15.523613963039017,1,Critical
0.3887748117727584,3,Low
0.3887748117727584,3,Low
1.5852156057494866,2,Moderate
1.5852156057494866,2,Moderate
0.7474332648870636,1,Low
0.7474332648870636,1,Low
0.2053388090349076,1,Low
0.2053388090349076,1,Low
0.4928131416837782,1,Low
0.4928131416837782,1,Low
0.1806981519507187,1,Low
0.1806981519507187,1,Low
26.43394934976044,1,Critical
26.43394934976044,1,Critical
0.840520191649555,3,Low
0.840520191649555,3,Low
15.323750855578371,1,Critical
15.323750855578371,1,Critical
15.323750855578371,1,High
15.323750855578371,1,High
2.001368925393566,2,Moderate
2.001368925393566,2,Moderate
8.618754277891854,2,High
8.618754277891854,2,High
0.5366187542778919,2,Moderate
0.5366187542778919,2,Moderate
15.323750855578371,1,Critical
15.323750855578371,1,Critical
15.323750855578371,1,Critical
15.323750855578371,1,Critical
2.0095824777549622,3,Low
2.0095824777549622,3,Low
0.6297056810403833,1,Low
0.6297056810403833,1,Low
0.2600958247775496,3,Low
0.2600958247775496,3,Low
0.2600958247775496,3,Low
0.2600958247775496,3,Low
0.5886379192334018,3,Low
0.5886379192334018,3,Low
15.323750855578371,1,Critical
15.323750855578371,1,Critical
1.919233401779603,2,Moderate
1.919233401779603,2,Moderate
0.2600958247775496,3,Low
0.2600958247775496,3,Low
1.1909650924024642,3,Low
1.1909650924024642,3,Low
0.8350444900752909,3,Low
0.8350444900752909,3,Low
0.5393566050650239,3,Low
0.5393566050650239,3,Low
1.056810403832991,3,Low
1.056810403832991,3,Low
1.1909650924024642,2,Moderate
1.1909650924024642,2,Moderate
15.326488706365502,1,Critical
15.326488706365502,1,Critical
15.326488706365502,1,Critical
15.326488706365502,1,Critical
15.326488706365502,1,Critical
15.326488706365502,1,Critical
15.326488706365502,1,Critical
15.326488706365502,1,Critical
15.323750855578371,1,Critical
15.323750855578371,1,Critical
0.2655715263518138,3,Low
0.2655715263518138,3,Low
1.8507871321013003,1,Low
1.8507871321013003,1,Low
11.041752224503764,1,High
11.041752224503764,1,High
1.620807665982204,2,Moderate
1.620807665982204,2,Moderate
15.852156057494868,1,Critical
15.852156057494868,1,Critical
1.2895277207392195,3,Low
1.2895277207392195,3,Low
0.9527720739219712,3,Low
0.9527720739219712,3,Low
0.5503080082135524,3,Low
0.5503080082135524,3,Low
2.26694045174538,3,Low
2.26694045174538,3,Low
0.944558521560575,3,Low
0.944558521560575,3,Low
15.266255989048595,1,Critical
15.266255989048595,1,Critical
15.266255989048595,1,Critical
15.266255989048595,1,Critical
1.0650239561943875,3,Low
1.0650239561943875,3,Low
1.995893223819302,2,Moderate
1.995893223819302,2,Moderate
1.0677618069815196,3,Low
1.0677618069815196,3,Low
1.2019164955509924,2,Moderate
1.2019164955509924,2,Moderate
0.9336071184120466,3,Low
0.9336071184120466,3,Low
33.516769336071185,1,Critical
33.516769336071185,1,Critical
3.1759069130732374,2,Moderate
3.1759069130732374,2,Moderate
4.774811772758385,1,Moderate
4.774811772758385,1,Moderate
1.7522245037645447,3,Low
1.7522245037645447,3,Low
1.6372347707049966,3,Low
1.6372347707049966,3,Low
27.1813826146475,1,Critical
27.1813826146475,1,Critical
3.479808350444901,2,Moderate
3.479808350444901,2,Moderate
3.12662559890486,1,Low
3.12662559890486,1,Low
2.1409993155373037,3,Low
2.1409993155373037,3,Low
0.9555099247091032,3,Low
0.9555099247091032,3,Low
2.223134839151266,3,Low
2.223134839151266,3,Low
2.830937713894593,2,Moderate
2.830937713894593,2,Moderate
6.442162902121835,2,High
6.442162902121835,2,High
2.948665297741273,3,Low
2.948665297741273,3,Low
0.9363449691991786,3,Low
0.9363449691991786,3,Low
15.572895277207392,1,Critical
15.572895277207392,1,Critical
15.572895277207392,1,Critical
15.572895277207392,1,Critical
3.0937713894592744,2,Moderate
3.0937713894592744,2,Moderate
1.8151950718685832,3,Low
1.8151950718685832,3,Low
1.648186173853525,3,Low
1.648186173853525,3,Low
29.045859000684462,1,Critical
29.045859000684462,1,Critical
1.7604380561259412,3,Low
1.7604380561259412,3,Low
1.2101300479123889,3,Low
1.2101300479123889,3,Low
24.851471594798085,1,Critical
24.851471594798085,1,Critical
20.01368925393566,1,Critical
20.01368925393566,1,Critical
1.5304585900068446,2,Moderate
1.5304585900068446,2,Moderate
16.59958932238193,1,Critical
16.59958932238193,1,Critical
16.59958932238193,1,Critical
16.59958932238193,1,Critical
16.59958932238193,1,Critical
16.59958932238193,1,Critical
15.649555099247092,1,Critical
15.649555099247092,1,Critical
1.9657768651608487,2,Moderate
1.9657768651608487,2,Moderate
6.54072553045859,1,High
6.54072553045859,1,High
3.3894592744695413,3,Low
3.3894592744695413,3,Low
2.1190965092402463,3,Low
2.1190965092402463,3,Low
1.6974674880219027,3,Low
1.6974674880219027,3,Low
0.8350444900752909,3,Low
0.8350444900752909,3,Low
15.852156057494868,1,High
15.852156057494868,1,High
15.767282683093772,1,Critical
15.767282683093772,1,Critical
15.767282683093772,1,Critical
15.767282683093772,1,Critical
1.6454483230663928,2,Moderate
1.6454483230663928,2,Moderate
15.767282683093772,1,Critical
15.767282683093772,1,Critical
15.767282683093772,1,Critical
15.767282683093772,1,Critical
0.8240930869267625,3,Low
0.8240930869267625,3,Low
0.3477070499657768,3,Low
0.3477070499657768,3,Low
1.431895961670089,3,Low
1.431895961670089,3,Low
0.0876112251882272,3,Low
0.0876112251882272,3,Low
0.6844626967830253,3,Low
0.6844626967830253,3,Low
0.5557837097878165,1,Low
0.5557837097878165,1,Low
1.700205338809035,3,Low
1.700205338809035,3,Low
1.1471594798083504,2,Moderate
1.1471594798083504,2,Moderate
1.4537987679671458,3,Low
1.4537987679671458,3,Low
0.3668720054757016,3,Low
0.3668720054757016,3,Low
0.837782340862423,3,Low
0.837782340862423,3,Low
0.3230663928815879,1,Low
0.3230663928815879,1,Low
0.6872005475701575,3,Low
0.6872005475701575,3,Low
1.7193702943189595,1,Low
1.7193702943189595,1,Low
1.1526351813826146,1,Low
1.1526351813826146,1,Low
1.2019164955509924,3,Low
1.2019164955509924,3,Low
1.0349075975359343,3,Low
1.0349075975359343,3,Low
15.822039698836411,1,High
15.822039698836411,1,High
15.822039698836411,1,Critical
15.822039698836411,1,Critical
15.822039698836411,1,Critical
15.822039698836411,1,Critical
1.0485968514715949,3,Low
1.0485968514715949,3,Low
15.822039698836411,1,Critical
15.822039698836411,1,Critical
2.1820670773442847,3,Low
2.1820670773442847,3,Low
15.822039698836411,1,High
15.822039698836411,1,High
15.822039698836411,1,High
15.822039698836411,1,High
2.04517453798768,1,Low
2.04517453798768,1,Low
15.247091033538672,1,High
15.247091033538672,1,High
1.9876796714579053,3,Low
1.9876796714579053,3,Low
1.5441478439425051,3,Low
1.5441478439425051,3,Low
33.89185489390828,1,Critical
33.89185489390828,1,Critical
0.914442162902122,3,Low
0.914442162902122,3,Low
33.89185489390828,1,Critical
33.89185489390828,1,Critical
33.89185489390828,1,Critical
33.89185489390828,1,Critical
1.4182067077344285,1,Low
1.4182067077344285,1,Low
2.3408624229979464,3,Moderate
2.3408624229979464,3,Moderate
1.6317590691307324,2,Moderate
1.6317590691307324,2,Moderate
1.9739904175222447,3,Low
1.9739904175222447,3,Low
1.8562628336755649,3,Low
1.8562628336755649,3,Low
0.6023271731690623,3,Low
0.6023271731690623,3,Low
0.4353182751540041,1,Low
0.4353182751540041,1,Low
33.89185489390828,1,Critical
33.89185489390828,1,Critical
1.809719370294319,3,Low
1.809719370294319,3,Low
0.5393566050650239,1,Low
0.5393566050650239,1,Low
36.22724161533196,1,Critical
36.22724161533196,1,Critical
0.6625598904859685,1,Moderate
0.6625598904859685,1,Moderate
33.59890485968515,1,Critical
33.59890485968515,1,Critical
1.6071184120465434,3,Low
1.6071184120465434,3,Low
33.59890485968515,1,Critical
33.59890485968515,1,Critical
0.5722108145106092,3,Low
0.5722108145106092,3,Low
33.59890485968515,1,High
33.59890485968515,1,High
2.97056810403833,3,Moderate
2.97056810403833,3,Moderate
33.53319644079398,1,Critical
33.53319644079398,1,Critical
1.8754277891854891,3,Low
1.8754277891854891,3,Low
0.8021902806297057,3,Low
0.8021902806297057,3,Low
2.220396988364134,3,Low
2.220396988364134,3,Low
0.8076659822039699,3,Low
0.8076659822039699,3,Low
2.833675564681725,2,Moderate
2.833675564681725,2,Moderate
2.294318959616701,3,Low
2.294318959616701,3,Low
1.3963039014373717,3,Low
1.3963039014373717,3,Low
1.349760438056126,3,Low
1.349760438056126,3,Low
3.3127994524298425,3,Moderate
3.3127994524298425,3,Moderate
27.34839151266256,1,Critical
27.34839151266256,1,Critical
0.974674880219028,3,Low
0.974674880219028,3,Low
18.60095824777549,1,Critical
18.60095824777549,1,Critical
15.898699520876113,1,Critical
15.898699520876113,1,Critical
4.3641341546885695,2,Moderate
4.3641341546885695,2,Moderate
0.3203285420944558,3,Low
0.3203285420944558,3,Low
15.898699520876113,1,Critical
15.898699520876113,1,Critical
0.5913757700205339,3,Low
0.5913757700205339,3,Low
7.507186858316222,1,High
7.507186858316222,1,High
1.13347022587269,3,Low
1.13347022587269,3,Low
1.2895277207392195,3,Low
1.2895277207392195,3,Low
15.51813826146475,1,High
15.51813826146475,1,High
15.51813826146475,1,High
15.51813826146475,1,High
16.01368925393566,1,High
16.01368925393566,1,High
16.01368925393566,1,High
16.01368925393566,1,High
16.01368925393566,1,High
16.01368925393566,1,High
0.5995893223819302,3,Low
0.5995893223819302,3,Low
34.76796714579056,1,Critical
34.76796714579056,1,Critical
1.587953456536619,2,Moderate
1.587953456536619,2,Moderate
1.111567419575633,3,Low
1.111567419575633,3,Low
1.8507871321013003,3,Low
1.8507871321013003,3,Low
0.9965776865160848,3,Low
0.9965776865160848,3,Low
19.09924709103354,1,Critical
19.09924709103354,1,Critical
2.639288158795346,2,Moderate
2.639288158795346,2,Moderate
16.00273785078713,1,High
16.00273785078713,1,High
1.7960301163586585,3,Low
1.7960301163586585,3,Low
34.06160164271047,1,Critical
34.06160164271047,1,Critical
2.7433264887063653,2,Moderate
2.7433264887063653,2,Moderate
1.7056810403832992,3,Low
