budget,strategy,k_reviewed,recall,waste,median_years_since_review
0.01,risk_top,2806,0.03663902853039107,0.0,31.942505133470227
0.01,oldest_first,2806,0.03663902853039107,0.0,32.01368925393566
0.01,random_mean,2806,0.009980936214663448,0.7275873129009266,1.8496646132785763
0.05,risk_top,14031,0.18320820003917215,0.0,22.349075975359344
0.05,oldest_first,14031,0.18255533067833127,0.003563537880407641,22.39561943874059
0.05,random_mean,14031,0.05007991120976692,0.7266502743924167,1.8521560574948666
